"Webhook","Company Name","Website","Source Url","New column","ICP & Value Prop Analysis","ICP","Personas","Industries","Value_Proposition"
,"NXXIM","nxxim.com","https://finance.yahoo.com/news/geneva-pe-announces-funding-launch-140700662.html",,"Response","ICP is marketers and product teams at small-to-midsize technology and software companies (including startups and growth-stage SaaS) who need to accelerate user acquisition, onboarding, and revenue through data-driven digital experiences.","Product managers and product marketing managers, Growth and performance marketers, Heads of digital/UX and CX leaders, Heads of engineering/technical leads","SaaS and software companies, E‑commerce and retail, Finance and fintech, Healthcare and digital health","Nxxim helps product, marketing, and growth teams increase conversions and accelerate product adoption by delivering data-driven personalized user experiences and rapid experimentation across digital channels. It combines analytics, A/B testing, and personalization to reduce time-to-impact and drive measurable revenue uplift."
,"Harness","harness.io","https://www.thesaasnews.com/news/harness-raises-240-million-in-series-e",,"Response","ICP is mid-to-large enterprise engineering and platform teams (DevOps, SRE, Cloud/Platform Engineering and Software Engineering organizations) at companies undergoing cloud migration or scaling CI/CD who need to accelerate delivery velocity, reduce developer toil, enforce governance/compliance, and optimize cloud costs.","developers and software engineers; DevOps and SRE/platform engineering leaders; engineering managers and directors; cloud architects and infrastructure teams; security and compliance engineers","financial services and banking; travel and airlines; hospitality; healthcare and life sciences; retail and ecommerce; SaaS and data platforms","Harness provides an AI-driven, end-to-end software delivery platform that automates CI/CD, testing, security, and cloud cost optimization so engineering and platform teams can deploy more frequently and reliably, reduce toil and failures, enforce governance, and lower cloud spend."
,"InsightX","insightx.com","https://www.thesaasnews.com/news/insightx-raises-600-million-in-series-a",,"Response","ICP is mid-market to enterprise B2B companies seeking to centralize customer and product analytics to drive growth and retention (marketing, product, and customer success teams).","marketing leaders (CMOs, VP/Director of Growth), product leaders (Chief Product Officers, Product Managers), and customer success / analytics leaders (Head of Customer Success, Head of Insights, Data Analysts).","SaaS companies, e-commerce and retail, financial services/fintech, and healthcare (digital health)","InsightX helps product, marketing, and customer teams centralize behavioral and product data into one platform to generate actionable insights that increase user activation, engagement, and retention."
,"Double","double.com","https://www.thesaasnews.com/news/double-raises-6-5-million-series-a",,"Response","ICP is early-stage founders, busy executives, and small leadership teams at startups and growing companies who need part-time, highly-vetted remote executive/operations support to offload recurring administrative, operational, and growth-support tasks without hiring full-time staff.","Founders and startup leadership; Investors and portfolio managers; Small business owners and consultants; Busy executives and teams","Startups and tech companies; Venture and investment/VC portfolio operations; Small businesses and professional services (consulting/coaching); Remote-first and distributed teams","A dedicated, highly-vetted virtual executive assistant (top ~0.7% of applicants) plus AI tooling that gets you matched and productive in days — freeing founders and executives from administrative work, reducing hiring/onboarding overhead, and allowing rapid scaling of support on flexible terms."
,"LI.FI","li.fi","https://fortune.com/2025/12/11/exclusive-crypto-startup-li-fi-raises-29-million/",,"Response","ICP is web3 builders and enterprises that need seamless cross-chain token transfers and swaps — primarily crypto wallets, self-custody providers, DeFi platforms, and marketplaces that require a single integration to access aggregated bridges, DEX aggregators and intent systems across 60+ chains.","developers and product teams and enterprise/blockchain partnerships teams","wallets and exchanges and DeFi platforms and gaming & NFTs and infrastructure & marketplaces","LI.FI provides a single API/SDK/widget that aggregates bridges, DEX aggregators and intent-systems to deliver best-price cross-chain swaps and transfers, reduce integration time and operational risk, and offer enterprise-grade SLAs and analytics for partners."
,"On Me","onme.com","https://techcrunch.com/2025/12/11/on-me-raises-6m-to-shake-up-the-gift-card-industry/",,"Response","ICP is mid-market to enterprise organizations, public institutions (like universities and transit authorities), and large employers or benefit providers who need a scalable digital gift card and prepaid benefits distribution platform to deliver targeted incentives, transit passes, and employee/staff rewards.","HR leaders and benefits managers, marketing and customer-experience leaders, procurement/operations managers, campus/student-affairs leaders (plural)","education institutions, public transit and government, corporate employers and HR/benefits, retail and fintech partners (plural)","OnMe provides a flexible, enterprise-grade digital prepaid platform that lets organizations issue, distribute, and manage gift cards, transit passes, and benefits at scale — simplifying administration, increasing uptake and engagement, and enabling measurable incentive programs."
,"Serval","serval.co","https://wtvbam.com/2025/12/11/ai-startup-serval-valued-at-1-billion-after-sequoia-led-round-to-expand-it-automation/",,"Response","ICP is mid-market and enterprise B2B technology companies (particularly SaaS vendors) seeking to improve customer onboarding, engagement, and retention by automating and instrumenting customer-facing workflows.","Customer Success Leaders and Product Managers (also Sales Leaders and Operations Directors)","SaaS companies and e-commerce platforms (also professional services and fintech)","Helps customer-facing teams automate onboarding and engagement workflows to accelerate time-to-value and reduce churn through data-driven, scalable playbooks."
,"Cheque-in","cheque-in.com","https://www.startupdaily.net/topic/funding/airwallex-kasada-hnry/",,"Response","ICP is uncertain due to inability to retrieve cheque-in.com content; likely mid-market to enterprise customers (facilities, event organizers, hotels, corporate offices) seeking digital/contactless visitor and check-in management solutions to streamline guest registration, improve security and capture data for compliance and marketing.","front-desk and reception managers, facilities and operations managers, event managers and hospitality managers","hospitalities and events, corporates and coworkings","Cheque-in.com likely offers a simple, contactless digital check-in solution that speeds guest arrivals, reduces front-desk workload, improves data capture for compliance/marketing, and enhances visitor experience."
,"Runware","runware.io","https://siliconangle.com/2025/12/11/ai-inference-startup-runware-raises-50m-make-ai-run-faster/",,"Response","ICP is SRE/DevOps teams and engineering organizations within mid-market to enterprise technology companies that need to automate operational runbooks, incident response, and routine infrastructure tasks to reduce toil and MTTR.","SREs and DevOps engineers and Engineering Managers and CTOs","technology companies and enterprise IT (including SaaS vendors and financial services/regulated enterprises)","Runware.io automates operational runbooks and incident response so engineering teams can reduce manual toil, shorten mean time to resolution (MTTR), and reliably execute operational procedures across environments."
,"Eikona","eikona.com","https://pulse2.com/eikona-5-million-seed-funding/",,"Response","ICP is mid-market to enterprise marketing and CRM/retention teams (primarily eCommerce/DTC and subscription-based businesses) and marketing technology leaders who need to scale personalized lifecycle content and creative at production quality using AI while maintaining brand safety and integration with existing marketing stacks.","Retention and CRM leaders; Lifecycle marketers; Head of Growth/CMOs; Creative directors and marketing operations/MarTech leads; Product and data science leaders supporting personalization (e.g., Head of Product, ML/AI leads).","Retail & DTC; E-commerce and subscription commerce; Telecom & Media; Entertainment & Sports; Travel & Hospitality; Financial services & Insurance; Healthcare services (consumer-facing healthcare).","Eikona automates generation and continuous A/B/RL-driven optimization of on‑brand, production‑grade marketing creative at scale—delivering double-digit uplifts in lifecycle metrics while preserving brand safety and plugging into existing Martech stacks."
